,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return,SMA_20,SMA_50,SMA_200,RSI,EMA_20,MACD,MACD_Signal,Volatility,BB_Middle,BB_Upper,BB_Lower,ATR,DayOfWeek,Month,Quarter,Target,Prediction,Next_Day_Return,Position_Change,Strategy_Return,Strategy_Equity,Buy_Hold_Equity
2023-06-06,1965.5,1965.5,1965.5,1958.800048828125,1960.800048828125,164,0.0038304392236976,0.0038231217714593,1979.5599975585935,1991.3860009765624,1833.989500732422,42.98835435241036,1973.5673347307045,-9.539057164488211,-7.83098190695199,0.0072213962425016,1979.5599975585935,2036.50395599474,1922.6160391224475,17.628566196986622,1,6,2,0,1,-0.011600126597875904,0.0,-0.011600126597875904,0.9883998734021241,0.9883998734021241
2023-06-07,1942.699951171875,1942.699951171875,1968.4000244140625,1940.699951171875,1959.0,139,-0.0116001265978759,-0.0116679329513364,1974.8849975585936,1991.1919995117184,1834.965000610352,39.34976995481209,1970.6275839155776,-10.74583084491178,-8.413951694543949,0.0073933108959065,1974.8849975585936,2027.432489031816,1922.337506085372,19.05713762555805,2,6,2,1,1,0.010758235929050786,0.0,0.010758235929050786,0.9990333124324281,0.9990333124324281
2023-06-08,1963.5999755859373,1963.5999755859373,1969.0,1943.0999755859373,1943.199951171875,433,0.0107582359290507,0.010700777840001,1971.539996337891,1991.015998535156,1836.1130004882807,52.02740621812727,1969.958287884184,-9.90161077409448,-8.711483510454055,0.0079479279328199,1971.539996337891,2017.2540438083984,1925.8259488673827,19.20714460100448,3,6,2,0,1,-0.0007129886084076276,0.0,-0.0007129886084076276,0.998321013061244,0.998321013061244
2023-06-09,1962.199951171875,1962.199951171875,1969.800048828125,1960.300048828125,1965.0999755859373,49,-0.0007129886084076,-0.0007132429056667,1968.914996337891,1990.9379980468748,1837.19,44.6532745370744,1969.219398673488,-9.239028782705873,-8.81699256490442,0.0078167103789914,1968.914996337891,2009.987639017024,1927.8423536587572,18.30000523158484,4,6,2,0,1,-0.003516411433824196,0.0,-0.003516411433824196,0.9948105056362885,0.9948105056362885
2023-06-12,1955.300048828125,1955.300048828125,1963.5,1951.4000244140625,1959.699951171875,212,-0.0035164114338241,-0.0035226085404931,1965.9549987792968,1990.4379980468748,1838.2275,43.80165481661521,1967.8937463072623,-9.165043320775112,-8.886602716078558,0.007826647471654,1965.9549987792968,2001.333291008344,1930.5767065502496,18.757149832589302,0,6,2,0,1,-0.005472343361624055,0.0,-0.005472343361624055,0.9893665609696959,0.9893665609696959
2023-06-13,1944.5999755859373,1944.5999755859373,1967.5,1940.300048828125,1960.5999755859373,343,-0.005472343361624,-0.0054873714836625,1962.2849975585937,1989.9499975585932,1839.1620001220704,41.60627040032547,1965.6752919528503,-9.856199661137452,-9.080522105090338,0.0078376033199954,1962.2849975585937,1989.130319014296,1935.439676102892,20.52857317243305,1,6,2,1,1,0.005502454682981162,0.0,0.005502454682981162,0.9948105056362886,0.9948105056362886
2023-06-14,1955.300048828125,1955.300048828125,1958.199951171875,1940.300048828125,1946.199951171875,202,0.0055024546829811,0.0054873714836625,1960.6299987792968,1989.3779980468744,1840.258000488281,47.750452545679295,1964.68717356002,-9.431815456504635,-9.150780775373198,0.0073820617849165,1960.6299987792968,1984.6265031791197,1936.6334943794743,20.90713936941966,2,6,2,1,1,0.0012785761456397537,0.0,0.0012785761456397537,0.996082446618227,0.996082446618227
2023-06-15,1957.800048828125,1957.800048828125,1958.800048828125,1926.0,1941.699951171875,329,0.0012785761456397,0.0012777594632126,1959.4850036621092,1988.09,1841.364000854492,54.916408441216525,1964.0312569188864,-8.792405433427575,-9.079105706984071,0.007359526625424,1959.4850036621092,1981.5575558600383,1937.4124514641803,21.842851911272323,3,6,2,1,1,0.0003064539641302044,0.0,0.0003064539641302044,0.9963877000325937,0.9963877000325937
2023-06-16,1958.4000244140625,1958.4000244140625,1962.9000244140625,1953.5,1961.4000244140625,119,0.0003064539641302,0.0003064070167053,1959.5800048828123,1986.84,1842.540001220703,54.7954525358843,1963.4949490612844,-8.143383511814363,-8.891961267950132,0.0068286515336981,1959.5800048828123,1981.614785241844,1937.5452245237807,22.13570731026784,4,6,2,0,1,-0.011693231274807592,0.0,-0.011693231274807592,0.984736708216739,0.984736708216739
2023-06-20,1935.5,1935.5,1958.5999755859373,1931.300048828125,1958.5999755859373,193,-0.0116932312748075,-0.0117621347666349,1957.420007324219,1985.3119995117183,1843.6535009765623,42.88425486968365,1960.8287634364,-9.368871036324435,-8.987343221624993,0.0067694276371262,1957.420007324219,1980.025257487484,1934.8147571609536,21.82856096540177,1,6,2,0,1,-0.0011366319668689728,0.0,-0.0011366319668689728,0.9836174249952305,0.9836174249952305
