,importance
SMA_50,0.006423173803526444
Volume,0.006045340050377823
Volatility,0.004282115869017616
BB_Lower,0.0036523929471032725
RSI,0.0030226700251889116
EMA_20,0.0030226700251889116
SMA_20,0.0025188916876574263
DayOfWeek,0.0020151133501259354
Close,0.0007556675062972195
Low,0.0006297229219143441
Quarter,0.00025188916876572875
BB_Upper,-0.0006297229219143607
Month,-0.0007556675062972362
SMA_200,-0.0008816120906800895
Daily_Return,-0.0010075566750629762
MACD_Signal,-0.0018891687657430823
Open,-0.002770780856423183
MACD,-0.003148614609571798
BB_Middle,-0.003400503778337538
High,-0.004534005037783379
Log_Return,-0.005415617128463485
Adj Close,-0.006926952141057941
ATR,-0.007682619647355171
